,Predicted Price,Real Price
2016-12-05,31.3119548493,32.65
2016-12-06,31.1982086957,33.01
2016-12-07,31.4525155325,33.12
2016-12-08,31.7184396738,33.19
2016-12-09,31.3275938449,33.03
2016-12-12,30.1020615384,31.38
2016-12-13,30.9881605017,30.61
2016-12-14,31.3434097184,30.0
2016-12-15,31.5404538043,29.88
2016-12-16,30.8585071815,30.64
2016-12-19,30.7716322926,29.9
2016-12-20,30.847084996,31.94
2016-12-21,30.7879092567,30.8
2016-12-22,30.9735697499,30.0
2016-12-23,31.0973948257,29.85
2016-12-26,30.8502612135,29.83
